Nome;Código;Preço
PAR.SEXT.FERRO (D6G3) UNC 1/4X3/4 RI ZINCADO;007903;0
PORCA PARLOCK BAIXA (D6) UNC 1/4 ZINCADA;005015;2,00
PAR.SEXT.FERRO (D6J2) UNC 1/4X3 RI ZINCADO;007658;0
BUCHA SNAPTOGGLE (BOLT) C/PARAF. (D6) 1/4" (ANCORA);028078;0
RODIZIO COLSON GLEF 412 BP C/FREIO CARGA 65 KG.;028480;0
CHUMBADOR CB (E1I4) 56214 - 5/16X 2.1/4" C/PARAF.;000273;2,00
CHUMBADOR CB (E1J6) 56314 - 5/16X 3.1/4" C/PARAF.;000274;3,34
GUIA SUPERIOR NYLON C/ROSCA 40MM;033975;0
PAR.ALLEN C/C AÇO LIGA DIN 912 MA 10 X100;003819;0
PORCA PARLOCK BAIXA MA 12MM ZINCADO;006165;0,02
ARR.LISA FERRO DIN 125 10MM EXT.20 ESP.2,0 ZINCADA;000877;0
PAR.SEXT.FERRO (D6K4) UNC 1/4X4 RI ZINCADO;010130;0
PAR.SEXT.ACO 8.8 MA 10 X 50 RI ZINCADO;005906;0
PAR.SEXT.ACO 8.8 MA 10 X 70 RI ZINCADO;031570;0
PORCA PARLOCK ALTA MA 10MM ZINCADA;008384;0
PAR.FIXER CHATA PHILLIPS 4,0 X 16 BICRO;028703;0
CHUMBADOR CB (E5I7) 38212 3/8X2.1/2" C/PARAF.;000275;0
PORCA SEXT.FERRO (E1) UNC 5/16" ZINCADO;000967;0
PAR.ALLEN C/C ACO LIGA DIN 912 MA 12 X 70;001241;0,02
PAR.ALLEN C/C ACO LIGA DIN 912 MA 10 X 70 ZINCADO;021908;0,02
PORCA PARLOCK BAIXA MA 10MM ZINCADO;005007;1,00
BUCHA NYLON FISCHER DUOPOWER 6;026353;1,00
PAR.FIXER CHATA PHILLIPS 4,5 X 45 BICRO;004280;1,50
PAR.FIXER CHATA PHILLIPS 4,0 X 22 BICRO;019733;0,30
PAR.SEXT.FERRO (E9G7) UNC 7/16X1 RI ZINCADO;007632;0,30
PORCA PARLOCK BAIXA (E9) UNC 7/16 ZINCADA;005011;2,00
ARR.LISA FERRO DIN 125 12MM EXT.25 ESP.2,5 ZINCADA;000878;2,00
PILHA BATERIA FLEX BOTAO CR2032;045774;0,02
PORCA PARLOCK BAIXA (F4) UNC 1/2 ZINCADA;005012;2,00
RODIZIO SCHIOPPA GLE 412 BP G CARGA 65 KGS;074428;0,50
